1000000,142.240494,138.141002,131.115730,120.841482,106.722897,64.962503,27.726860,3.317017,0.136083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1.639797,2.810109,4.109699,5.647434,16.704158,14.894257,9.763937,1.272374,0.054433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,114.793965
2000000,93.386787,87.926467,80.799133,74.964585,60.318679,43.886687,26.740260,11.379920,7.722696,3.010831,1.360827,0.561341,0.068041,0.051031,0.000000,0.000000,0.000000,0.000000,0.000000,,2.184128,2.850934,2.333819,5.858362,6.572797,6.858571,6.144136,1.462890,1.884746,0.660001,0.319794,0.197320,0.006804,0.020412,0.000000,,61.488820
3000000,75.049637,69.606327,62.598065,52.664024,42.015549,32.915015,22.487674,14.288689,8.267027,4.031451,2.109283,0.969590,0.272166,0.051031,0.000000,0.000000,0.000000,0.000000,0.000000,,2.177324,2.803305,3.973616,4.259390,3.640214,4.170936,3.279594,2.408665,1.694230,0.768868,0.455877,0.278970,0.088454,0.020412,0.000000,,53.249520
4000000,70.933133,65.830030,58.107334,49.244945,40.586680,32.200581,23.406233,16.585085,10.410330,5.358258,2.653614,0.969590,0.510310,0.153093,0.000000,0.000000,0.000000,0.000000,0.000000,,2.041241,3.089078,3.544956,3.463306,3.354440,3.517739,2.728459,2.469902,2.020829,1.081858,0.673610,0.183712,0.142887,0.061237,0.000000,,50.433458
5000000,69.198078,63.278479,55.283617,46.846487,40.076370,32.098519,24.562936,16.891271,10.818579,6.276817,3.095883,1.275776,0.578352,0.102062,0.000000,0.000000,0.000000,0.000000,0.000000,,2.367840,3.197945,3.374852,2.708047,3.191140,3.014233,3.068666,2.429077,1.816705,1.272374,0.728043,0.278970,0.190516,0.040825,0.000000,,48.990811
6000000,67.701168,61.543424,55.385679,46.897518,39.872246,31.843363,25.073247,18.167047,12.043323,7.246406,3.402069,1.428869,0.714434,0.153093,0.000000,0.000000,0.000000,0.000000,0.000000,,2.463098,2.463098,3.395265,2.810109,3.211553,2.708047,2.762480,2.449489,1.918767,1.537735,0.789280,0.285774,0.224537,0.061237,0.000000,,47.984479
7000000,66.578485,60.114555,54.569183,46.540301,39.463997,33.119139,25.277371,18.269109,13.302089,7.450531,3.810317,1.479900,0.612372,0.153093,0.000000,0.000000,0.000000,0.000000,0.000000,,2.585572,2.218149,3.211553,2.830521,2.537943,3.136707,2.803305,1.986808,2.340623,1.456085,0.932167,0.347011,0.183712,0.061237,0.000000,,47.385374
8000000,66.544465,59.655276,53.888769,46.489269,39.634101,32.302643,25.175309,18.116016,13.234047,7.807748,3.810317,1.479900,0.612372,0.153093,0.000000,0.000000,0.000000,0.000000,0.000000,,2.755676,2.306603,2.959800,2.742067,2.932583,2.850934,2.823717,1.952787,2.170520,1.598972,0.932167,0.347011,0.183712,0.061237,0.000000,,47.230070
9000000,66.204258,59.910431,53.684645,46.693394,39.395956,32.047488,25.617578,18.116016,13.302089,7.909810,3.912379,1.377838,0.612372,0.204124,0.000000,0.000000,0.000000,0.000000,0.000000,,2.517531,2.490314,2.796501,2.918975,2.939387,2.571964,3.000625,1.925571,2.156912,1.598972,1.013816,0.306186,0.163299,0.081650,0.000000,,47.040235
10000000,66.204258,59.910431,53.684645,46.693394,39.327915,32.149550,25.617578,18.116016,13.302089,7.909810,3.912379,1.377838,0.612372,0.204124,0.000000,0.000000,0.000000,0.000000,0.000000,,2.517531,2.490314,2.796501,2.946192,2.871346,2.612789,3.000625,1.925571,2.156912,1.598972,1.013816,0.306186,0.163299,0.081650,0.000000,,47.038193
11000000,66.204258,59.910431,53.684645,46.693394,39.327915,32.149550,25.617578,18.116016,13.302089,7.909810,3.912379,1.377838,0.612372,0.204124,0.000000,0.000000,0.000000,0.000000,0.000000,,2.517531,2.490314,2.796501,2.946192,2.871346,2.612789,3.000625,1.925571,2.156912,1.598972,1.013816,0.306186,0.163299,0.081650,0.000000,,47.038023
12000000,66.204258,59.910431,53.684645,46.591332,39.361935,32.149550,25.617578,18.116016,13.302089,7.909810,3.980420,1.377838,0.612372,0.204124,0.000000,0.000000,0.000000,0.000000,0.000000,,2.517531,2.490314,2.837325,2.891758,2.884954,2.612789,3.000625,1.925571,2.156912,1.571756,1.041033,0.306186,0.163299,0.081650,0.000000,,47.036152
