200000,97.700000,97.060606,95.406780,91.987342,85.203883,43.282051,2.774834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.255758,0.661531,1.367775,2.713383,16.768733,16.202887,1.109934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,,54.558937
400000,91.300000,90.333333,87.618644,83.917722,77.621359,61.589744,13.692053,0.339181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.386667,1.085876,1.480369,2.518545,6.412646,19.159076,5.341149,0.135673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,,46.054145
600000,81.750000,81.212121,79.000000,74.791139,69.009709,57.649573,26.344371,2.391813,0.218421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.215152,0.884848,1.683544,2.312572,4.544054,12.522081,9.581023,0.869357,0.087368,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,,36.840220
800000,72.850000,71.015152,68.398305,64.708861,59.101942,49.739316,28.894040,5.646199,0.244737,0.065728,0.000000,0.000000,0.000000,0.000000,0.000000,,0.733939,1.046739,1.475778,2.242768,3.745050,8.338111,9.299136,2.160585,0.071604,0.026291,0.000000,0.000000,0.000000,0.000000,-0.000000,,27.484733
1000000,61.800000,59.712121,57.313559,54.189873,48.737864,39.752137,23.675497,7.274854,0.597368,0.058685,0.000000,0.000000,0.000000,0.000000,0.000000,,0.835152,0.959425,1.249474,2.180804,3.594291,6.430656,6.560257,2.670994,0.215473,0.023474,0.000000,0.000000,0.000000,0.000000,-0.000000,,18.814489
1200000,49.600000,47.515152,44.364407,41.322785,36.150485,29.179487,16.261589,5.701754,1.171053,0.068075,0.002075,0.000000,0.000000,0.000000,0.000000,,0.833939,1.260298,1.216649,2.068920,2.788399,5.167159,4.223934,1.812281,0.441191,0.026400,0.000830,0.000000,0.000000,0.000000,-0.000000,,11.400598
1400000,30.900000,30.045455,27.932203,24.550633,19.422330,13.897436,7.933775,3.567251,1.302632,0.248826,0.014523,0.000000,0.000000,0.000000,0.000000,,0.341818,0.845300,1.352628,2.051321,2.209958,2.385464,1.746609,0.905848,0.421522,0.093721,0.005809,0.000000,0.000000,0.000000,-0.000000,,6.470600
1600000,21.550000,21.045455,19.245763,16.493671,13.179612,9.970085,6.798013,4.116959,2.255263,1.032864,0.288382,0.033074,0.008772,0.000000,0.000000,,0.201818,0.719877,1.100837,1.325624,1.283810,1.268829,1.072422,0.744678,0.488960,0.297793,0.102123,0.009721,0.003509,0.000000,-0.000000,,4.649646
1800000,18.750000,17.757576,16.110169,14.120253,11.907767,9.277778,6.996689,4.809942,3.028947,1.889671,0.948133,0.256809,0.040351,0.003279,0.001484,,0.396970,0.658963,0.795967,0.884994,1.051996,0.912436,0.874699,0.712398,0.455710,0.376615,0.276529,0.086583,0.014829,0.000718,0.000593,,3.727582
2000000,15.650000,15.393939,14.152542,12.588608,10.601942,8.722222,6.867550,5.140351,3.613158,2.392019,1.456432,0.698444,0.194737,0.032787,0.010386,,0.102424,0.496559,0.625574,0.794666,0.751888,0.741869,0.690880,0.610877,0.488456,0.374235,0.303195,0.201483,0.064780,0.008960,0.004154,,3.124426
